kEf,kEr,kdEf,kdEr,kcatE,kdp,kG2f,kG2r,kG2SOSf,kG2SOSr,kSOSf,kSOSr,kRgne,Kmgne,kRhydro,kR1f,kR1r,knfpR1r,kBf,kBr,knfpBr,kdR1f,kdR1r,kpR1,kdpR1,knfpBR1,knfpSOS,kdpSOS,kdpMEK,kdpERK,kpMEK,kpERK
97156.25,178.15032,7.8709641999999995,55.993759999999995,15.105546,281.07716000000005,6.2747176,26376.93,0.9258990999999999,135.92352999999997,5.634264e-5,10.553132,40.6502,63599.41,2.6778052,0.00012455529999999998,45.03679999999999,0.12689188,3974.6111,0.12709963999999999,22.231216000000003,0.155415,41.90297,7937.14,66.51551,6.189726e-13,4.0135311999999994e-5,0.057729789999999996,3.3697384,1.4709032,0.0006644292000000001,4.847408e-6
2487.5,159.54623999999998,0.776347,78.56576,30.929706,464.66672000000005,1.3690696000000002,17805.51,0.9900016,277.61926,0.0003853236,18.873092,49.359725000000005,383377.33,0.1129528,0.00017272572999999997,86.38712,0.18032416,502.196,0.12127645999999997,15.858388000000003,9.4121625,113.75122999999999,5556.685,28.403480000000002,1.1357229e-12,1.0330767999999999e-5,0.035916526000000004,1.3259428,3.1989581,0.0012877727999999998,6.305875999999999e-6
87627.5,191.4084,0.2335894,46.51352,51.171443999999994,6.718459999999999,3.3055096,31882.419,0.9053863,147.58573,0.00021810071999999998,8.643323,49.41665,575386.84,1.0761138999999997,0.00015371970999999998,372.24368,0.37733020000000006,2659.2179,0.10363564999999998,10.538920000000003,5.078189999999999,112.8434,4491.148,153.86717000000002,1.9768566e-12,5.0768704e-5,0.023617557999999997,3.491152,1.2357683,0.00024414449999999997,7.3279519999999995e-6
55205.0,25.04088,1.9103227000000003,60.05672,36.86376599999999,176.46188,3.8218936000000006,20772.54,2.2566669999999998,30.96373,0.0004645632,12.954575,51.5798,543266.29,0.16929370000000002,9.014784999999997e-5,614.0531599999999,0.2019418,3623.4680000000003,0.050713219999999996,37.13626000000001,1.1206649999999998,104.02448,13899.613,5.03552,2.037207e-12,7.770145599999999e-5,0.014277304,3.0763222,1.1051378,0.0009414708,2.3898319999999996e-6
122648.75,72.7272,4.1491978,14.160319999999999,41.281344,241.0772,5.8551556,3267.063,1.3387191999999999,405.90346,0.00025307544000000004,16.074559999999998,7.8614,185657.5,2.3826862,3.116365e-5,208.64024,0.27291292000000006,613.67,0.08770753999999999,31.500784000000003,4.943055,19.33691,591.736,215.34716,1.2187047000000001e-12,5.0923935999999994e-5,0.013813191999999998,2.8587895000000003,0.3810716,0.0010878620999999998,9.475459999999998e-6
48893.75,168.31367999999998,3.4707508000000002,100.68632,31.061574,457.48724000000004,6.3779944,6069.258,1.2643603,104.43558999999999,0.00011317656,7.395328999999999,15.773974999999998,85013.11,2.2861018,0.00028446802,557.4212,0.29289904,2252.3378,0.12161899999999998,38.34762400000001,3.7171875,114.01061,9116.032,124.37903,8.151114e-13,5.946169599999999e-5,0.028722789999999998,2.0443066,0.5788834999999999,0.0008407284,8.820871999999999e-6
27485.0,102.23711999999999,4.5465739,63.81872,56.97363599999999,221.59004000000002,1.4400724,23014.296,1.0617964,167.99458000000004,0.00032630376000000006,7.262966,53.799875,221347.0,2.5436601999999997,0.00023629758999999995,561.01688,0.26883412000000007,903.5024,0.1318952,40.29634,1.10136,108.17456,12902.089,216.45991999999998,1.7316831000000001e-12,6.5275839999999995e-6,0.047055214,4.2398692,2.7510821,0.0014672201999999998,4.824439999999999e-6
32558.75,34.236000000000004,8.1326509,21.082399999999996,33.83080199999999,85.17992000000001,2.9504956000000004,28124.181,0.7771813000000001,333.01471,0.00018476544,0.6637249999999999,55.393775,690307.03,2.6912197,0.00012848757999999998,790.24148,0.053473480000000004,3779.5316000000003,0.13258027999999997,51.883300000000006,8.611004999999999,58.50329,19159.285,49.824110000000005,1.6449294000000002e-12,2.2904559999999998e-5,0.024951879999999996,3.0156154,0.3474809,7.8864e-5,2.1142159999999996e-6
77232.5,144.14976000000001,1.7552491,115.43335999999998,2.841822,188.76956000000004,6.4941808000000005,15860.457,0.4182073,456.63403,0.0002678304,5.693518999999999,17.367874999999998,139974.94,2.307565,0.00032280774999999997,37.845439999999996,0.24232192000000002,435.3116,0.11459692999999997,46.35316,8.533785,122.69984,11043.067,269.8724,2.3578185e-12,5.1079167999999996e-5,0.043632388,2.175838,2.6241839000000002,0.0014766647999999998,8.878291999999999e-6
113986.25,51.129360000000005,2.5403092000000003,101.89015999999998,54.797813999999995,513.38462,1.485256,25190.118,1.9079494,478.79221,0.00052412952,2.9138959999999994,4.4459,384091.12,2.5275628,2.7559059999999996e-5,580.79312,0.19908664000000004,2536.5965,0.017486839999999997,13.646332000000003,2.0569575,92.35238000000001,3425.611,162.76925,3.8062281000000005e-12,3.7806832e-5,0.04595294799999999,3.2331481,3.2512103,0.0009273039,1.7582119999999999e-6
116213.75,175.15655999999998,4.9827184,147.03416,57.501107999999995,313.89764,6.2424436000000005,5541.786,0.37461759999999994,205.89673,0.00048587592,13.578572000000001,25.73585,640341.73,0.8292871,0.00027136041999999995,283.25059999999996,0.26026864,1204.4822,0.10397818999999997,46.98517600000001,8.224905,69.78631999999999,8322.546999999999,198.65576000000001,1.2564237000000001e-12,5.208112e-6,0.010564407999999999,3.5012698,0.6609940999999999,0.0005038709999999999,5.421608e-6
65600.0,55.620000000000005,2.9667616000000003,58.55192,25.852788,466.20518000000004,3.61534,21497.814,2.3617950999999997,229.22113000000002,0.00048806184000000003,5.164067,24.938899999999997,62885.62,0.1290502,0.00027660345999999995,622.1434399999999,0.1244446,1923.4895,0.0394094,48.56521600000001,9.13224,107.13704,19544.692,262.91765,1.7766030000000002e-13,4.1610016e-5,0.028432719999999998,1.8368917000000002,1.4335802000000002,0.0004818336,7.350919999999999e-6
3230.0,209.5848,6.8145253,20.78144,62.907695999999994,24.667160000000003,0.26529880000000006,12234.087,0.8566684,28.048180000000002,0.00037439400000000006,12.614213000000001,47.139649999999996,654617.53,0.0458803,4.3615869999999995e-5,440.56159999999994,0.28270204000000004,3617.8943,0.12795599,9.380224000000002,5.609077500000001,112.58402000000001,19363.324,148.02518,3.2630745e-12,2.9191456e-5,0.025764075999999997,4.993645300000001,1.3365404,0.0013113843,6.983432e-6
68075.0,139.23144,3.7130533,125.66599999999998,47.611008,492.87182000000007,5.7325144,25025.283,2.2412824,179.07367,0.00051702528,8.794595,53.230625,604652.23,2.0822013999999998,3.2146719999999996e-5,244.59704,0.12974704,2475.2858,0.015945409999999997,26.286652,4.1225925,4.42256,21426.385,274.60163,1.2862560000000001e-13,4.4171344e-5,0.047461312,4.5636388000000006,3.0533984,0.0010390649999999998,9.428479999999999e-7
10778.75,7.29216,1.2900283000000001,9.49544,53.017596,399.53858,3.8541676000000002,3464.865,0.0797461,58.3699,0.0005410704,6.657877999999999,1.4288750000000001,560397.25,0.27392679999999997,0.00010063392999999998,95.37631999999999,0.15462772000000002,1611.3623,0.05499496999999999,23.653252000000005,8.2056,120.62480000000001,19249.969,165.27295999999998,2.3804499000000004e-12,6.0703552e-5,0.046939185999999994,3.3343261,2.4935534,0.0013255512,7.810279999999999e-6
108788.75,26.537760000000002,9.1309372,131.23376000000002,42.995627999999996,43.12868,1.582078,29278.026,0.154105,276.45304,0.00031045584,11.404037,42.756425,267743.35,0.912457,9.506319999999997e-5,615.851,0.21295456000000001,3707.0735,0.09130420999999998,46.6165,2.8581149999999997,102.33851,21108.991,68.18465,2.2936962e-12,2.1507472e-5,0.048679606,0.7694638000000001,0.9446488999999999,0.0002772006,1.0945411999999998e-5
115223.75,11.99664,1.1349547,145.37888,12.138516,328.76942,5.2161304,24398.91,0.4105149999999999,282.86725,0.00046183080000000004,5.6746099999999995,19.815649999999998,249184.81,2.6617078000000003,7.114182999999999e-5,332.6912,0.35979136,1488.7408999999998,0.00395651,34.60819600000001,4.3349475,47.998400000000004,2858.836,132.72473,1.2111609e-12,5.9306463999999994e-5,0.057207664,0.5772256000000001,3.0944537,0.0002646078,9.969272e-6
93443.75,196.7544,1.842478,20.02904,23.479164,483.64106000000004,5.9261584,25618.689,1.6028215,556.34584,0.0004951660799999999,5.825881999999999,25.678925,548976.61,0.1236844,0.00012324453999999998,518.7676399999999,0.15625924000000002,2335.9433,0.13275155,3.5340760000000007,0.75387,124.5155,12856.747,69.57560000000001,8.000238e-13,2.8260064e-5,0.037366876,4.4472841,2.7660112999999997,0.0013586072999999998,1.0302307999999998e-5
121658.75,214.71696,2.2495462,53.134640000000005,40.687937999999995,383.12834000000004,5.0547604,15398.919,0.0848743,548.1823,0.0005328732,9.45641,18.050974999999998,435484.0,0.6388012,1.4779149999999997e-5,479.21515999999997,0.40669756,2313.6485000000002,0.023652559999999996,32.65948,9.2577225,31.52777,5874.079,119.92799000000001,2.2484334e-12,7.4984896e-5,0.027794565999999996,3.1269112,2.2845446,0.0013837928999999999,8.154799999999999e-6
101858.75,114.426,5.9713126,92.71087999999999,14.775876,9.79538,5.8809748,19354.959,2.1771799,156.91548999999998,0.00020334576,2.8382599999999996,50.384375000000006,467604.55,2.0231776,1.412377e-5,30.65408,0.39405328000000006,1427.4302,0.11014390999999998,32.55414400000001,7.9835925,92.74145,5738.053,260.97032,1.6411575e-12,7.428635199999999e-5,0.016655878,3.3798562000000003,2.4898211,0.0001859028,7.764344e-6
80202.5,82.35,7.2603619,39.29048,30.138498,357.48734,2.9634052000000004,32343.957,0.3720534999999999,362.75332,4.10412e-5,16.358195,38.3732,519711.22,1.6556203,0.00013176448,21.66488,0.32226640000000006,1226.777,0.07674625999999998,5.482792000000001,8.736487499999999,114.52937,9932.188,170.28038,1.4110715999999999e-12,6.7068064e-5,0.054422991999999996,3.2078536000000004,1.3589342,0.0001292352,3.5267479999999993e-6
77356.25,89.19288,1.745557,134.54432,30.3363,226.71824000000004,5.674421200000001,21234.078,2.0130774999999996,521.94235,0.00034324464,9.626591000000001,13.155425,409073.77,2.6241472,9.113091999999997e-5,774.95984,0.27699172000000005,3339.2093,0.020398429999999995,40.61234800000001,2.25966,56.29856,11768.539,159.43097,3.3536001e-12,6.9318928e-5,0.005923288,1.56877,2.9750201,0.0015789812999999998,1.0692763999999999e-5
45428.75,151.42032,5.118407800000001,91.95848,64.885716,273.89768000000004,3.4604248,33069.231,0.0874384,550.51474,0.00042467016,4.842613999999999,25.906625,345546.46,2.6268301000000003,4.754814999999999e-5,252.68732,0.012277600000000001,1416.2828,0.09746992999999998,1.111348,6.4391925,116.34503,7891.798,245.66987,8.339709e-13,1.7937136e-5,0.024719823999999998,0.5519311000000001,1.8702593,0.0007195226999999999,7.06382e-6
114605.0,3.0153600000000003,5.5448602,42.75152,25.457183999999998,183.64136000000002,3.7638004,24860.448,1.0438477,84.60985000000001,0.00043614624,13.502936,24.711199999999998,70023.51999999999,2.5597575999999997,0.00030052483,810.01772,0.29249116000000003,61.87370000000001,0.03341495,48.881224,8.591700000000001,78.99431,2178.706,32.57633,2.1692235000000003e-12,4.0601008e-5,0.019904662,2.9194963,0.6759233,0.0007982277,9.073519999999998e-6
109778.75,111.2184,0.6891181000000001,123.70975999999999,38.97365399999999,316.4617400000001,2.3501992,5640.687,2.4976924,444.38872000000003,0.00048532944000000003,0.417908,17.026325,424777.15,1.1726983,6.360495999999998e-5,158.30072,0.0816172,1221.2033,0.10346437999999998,38.13695200000001,3.4855275000000003,49.03592,12380.656,171.94951999999998,9.320403e-13,3.229609599999999e-5,0.026518257999999996,3.2584426000000004,2.3629228999999996,0.0015175913999999997,5.651287999999999e-6
103096.25,50.274,5.5060918,122.20495999999999,50.446169999999995,305.69252,2.1630100000000003,4882.446,0.17974600000000002,560.42761,6.612960000000001e-6,0.833906,23.401925,277022.62,0.4858759,3.8700519999999994e-5,761.47604,0.40628968000000004,2425.1225000000004,0.08376832999999999,20.282500000000002,7.08591,110.50898,11133.751,190.86644,2.1918549e-12,1.8868528e-5,0.041137786,3.1775002,2.1277880000000002,0.0007887831,2.424284e-6
65105.0,126.18719999999999,6.077925700000001,145.9808,10.951704,115.43630000000002,6.0165256000000005,25124.184,1.7233342,447.30427000000003,0.00047603928,10.345133,54.7676,252753.76,1.1700154,5.016966999999999e-5,61.21736,0.14443072,3874.2845,0.01114985,45.879148000000015,9.315637500000001,42.29204,10362.937,197.543,3.549396e-13,2.6474896e-5,0.040383604000000003,3.8655106,0.336284,0.0008879513999999999,5.5708999999999995e-6
37880.0,178.578,7.2215935,126.11743999999999,47.87474399999999,506.71796,3.0279532000000002,1981.35,0.8823093999999999,464.21446000000003,0.00044871528000000005,2.0818999999999996,36.153125,194222.98,0.19343980000000002,9.309705999999998e-5,154.70504,0.23294068,151.0529,0.09216055999999997,53.147332000000006,8.16699,7.275739999999999,15577.267,33.68909,9.282684e-13,6.605905599999999e-5,0.036438652,4.862113900000001,1.1797838,0.0007856349,9.773e-7
31073.75,109.08,9.528313299999999,74.80376,33.896736,89.7953,5.8293364,19552.761,2.0412825999999997,279.9517,0.00037002216,17.303645,32.737625,120702.61,1.0117243,0.00025628668,730.91276,0.11873428000000001,2112.9953,0.15981220999999998,10.591588000000002,6.1689225,53.70476000000001,4944.568,110.46953,1.3431774e-12,2.9734768e-5,0.047577339999999996,3.5619766,0.3624101,0.0005369271,1.9638799999999997e-7
82182.5,33.594480000000004,1.9878595000000001,77.21143999999998,11.347308,110.3081,2.9827696,13684.635,2.3566668999999996,514.36192,0.00044488992,17.946551,2.339675,559683.46,2.4363442,0.00018681639999999994,640.12184,0.20438908000000003,1906.7684,0.0051554,47.564524000000006,5.136105,24.6542,11700.526,35.63642,3.5572827000000003e-12,6.0160239999999996e-5,0.017758144,1.0679389,1.9859606,0.0006833184,9.509912e-6
11273.75,105.44472,7.5511249000000005,70.13887999999999,34.292339999999996,325.69250000000005,1.7111740000000002,7981.344,1.487437,539.43565,0.00051483936,12.67094,45.887299999999996,169954.12,0.5395339,0.00013962903999999998,28.85624,0.30105664000000004,4922.1401,0.009437149999999998,38.87430400000001,4.3156425,18.29939,19091.272,246.78263,2.8406217000000002e-12,2.5776352e-5,0.03684475,1.8419506,3.3482501,0.0011020289999999998,1.0267856e-5
81192.5,17.128800000000002,8.8304821,114.68095999999998,16.16049,160.05164000000002,3.8154388000000004,22387.923,1.6566676,102.10315000000001,0.00013776815999999998,8.302961,7.690625,718858.63,0.20953720000000003,0.00010030623999999997,574.50068,0.06285472,2859.8711000000003,0.15364649,1.3220200000000002,3.7461450000000003,54.4829,16892.185,48.43316,3.3460563000000003e-12,4.401611199999999e-5,0.034060078,2.428783,3.6729602000000003,0.0004204437,6.627428e-6
